Map Name,W(1/100),H(1/100),Cap/Gen,Capacity,SP,Avg.LV,Avg.HP,Avg.Exp,Avg.Exp/Gen,Monsters,Limit Portal,Teleport Limit
Carcion : Breathtaking Cave 2,32,10,39,39,40,289,21843743620,4265489,166354071,{'Knight of the Source': '40'},0,0
Carcion : Breathtaking Cave 3,32,10,39,39,40,289,21843743620,4265489,166354071,{'Knight of the Source': '40'},0,0
Carcion : Breathtaking Cave 4,32,10,39,39,40,289,21843743620,4265489,166354071,{'Knight of the Source': '40'},0,0
Carcion : Sunken Ruins 2,32,10,39,39,40,289,21843743620,4265489,166354071,{'Priest of the Source': '40'},0,0
Carcion : Sunken Ruins 3,32,10,39,39,40,289,21843743620,4265489,166354071,{'Priest of the Source': '40'},0,0
Carcion : Sunken Ruins 4,32,10,39,39,40,289,21843743620,4265489,166354071,{'Priest of the Source': '40'},0,0
Carcion : Breathtaking Cave 1,26,10,35,35,36,289,21843743620,4265489,149292115,{'Knight of the Source': '36'},0,0
Carcion : Sunken Ruins 1,26,10,35,35,36,289,21843743620,4265489,149292115,{'Priest of the Source': '36'},0,0
Carcion : Enfolding Forest 3,20,19,39,39,40,288,21539716086,4217526,164483514,{'Shadowy Black Panther': '40'},0,0
Carcion : Among Tainted Trees 1,20,19,39,39,40,288,21539716086,4217526,164483514,{'Shadowy Black Panther': '40'},0,0
Carcion : Among Tainted Trees 3,27,14,39,39,40,288,21539716086,4217526,164483514,{'Abyssal Hunter': '40'},0,0
Carcion : Among Tainted Trees 2,27,15,39,39,40,288,21539716086,4217526,164483514,{'Abyssal Hunter': '40'},0,0
Carcion : Enfolding Forest 1,27,14,35,35,36,287,21224925234,4163751,145731285,{'Despairing Hunter': '36'},0,0
Carcion : Enfolding Forest 2,27,14,35,35,36,287,21224925234,4163751,145731285,{'Despairing Hunter': '36'},0,0
Carcion : Giant Coral Colony 3,28,12,39,39,40,286,20925241640,4110304,160301856,{'Monstrous Shadow Bird': '40'},0,0
Carcion : Calm Beach 3,30,10,39,39,40,286,20925241640,4110304,160301856,{'Abyssal Guard': '40'},0,0
Carcion : Calm Beach 1,30,11,39,39,40,286,20925241640,4110304,160301856,{'Monstrous Shadow Bird': '40'},0,0
Carcion : Calm Beach 2,30,12,39,39,40,286,20925241640,4110304,160301856,{'Abyssal Guard': '40'},0,0
Carcion : Giant Coral Colony 2,26,11,35,35,36,285,20627681750,4062965,142203775,{'Despairing Guard': '36'},0,0
Carcion : Giant Coral Colony 1,28,11,35,35,36,285,20627681750,4062965,142203775,{'Despairing Guard': '36'},0,0
Arteria : Top Deck Passage 2,30,12,39,39,40,284,15630628104,3614278,140956842,{'Frozen Flora Foot Soldier': '40'},0,0
Arteria : Top Deck Passage 4,30,12,39,39,40,284,15630628104,3614278,140956842,"{'Frozen Flora Foot Soldier': '19', 'Frozen Flora Magician': '21'}",0,0
Arteria : Top Deck Passage 6,30,12,39,39,40,284,15630628104,3614278,140956842,{'Frozen Flora Magician': '40'},0,0
Arteria : Top Deck Passage 7,30,12,39,39,40,284,15630628104,3614278,140956842,"{'Frozen Flora Foot Soldier': '20', 'Frozen Flora Magician': '20'}",0,0
Arteria : Top Deck Passage 8,30,13,39,39,40,284,15630628104,3614278,140956842,"{'Frozen Flora Foot Soldier': '20', 'Frozen Flora Magician': '20'}",0,0
Arteria : Top Deck Passage 1,24,12,35,35,36,284,15630628104,3614278,126499730,{'Frozen Flora Foot Soldier': '36'},0,0
Arteria : Top Deck Passage 3,24,12,35,35,36,284,15630628104,3614278,126499730,"{'Frozen Flora Foot Soldier': '16', 'Frozen Flora Magician': '20'}",0,0
Arteria : Top Deck Passage 5,24,12,35,35,36,284,15630628104,3614278,126499730,{'Frozen Flora Magician': '36'},0,0
Arteria : Bottom Deck Passage 6,30,13,39,39,40,283,15405075504,3572010,139308390,{'High Flora Longswordsman': '40'},0,0
Arteria : Bottom Deck Passage 5,30,13,39,39,40,283,15405075504,3572010,139308390,{'High Flora Longswordsman': '40'},0,0
Arteria : Bottom Deck Passage 4,24,13,35,35,36,283,15405075504,3572010,125020350,{'High Flora Longswordsman': '36'},0,0
Arteria : Bottom Deck Passage 2,30,13,39,39,40,282,15171614640,3524768,137465952,{'High Flora Armored Soldier': '40'},0,0
Arteria : Bottom Deck Passage 3,30,13,39,39,40,282,15171614640,3524768,137465952,{'High Flora Armored Soldier': '40'},0,0
Arteria : Bottom Deck Passage 1,24,13,35,35,36,282,15171614640,3524768,123366880,{'High Flora Armored Soldier': '36'},0,0
Empress Road : Combat Zone Outskirts 2,26,12,39,39,40,281,14949403560,3482914,135833646,{'High Flora Magician': '40'},0,0
Empress Road : Eastern Outskirts,34,31,39,39,40,281,14949403560,3482914,135833646,{'High Flora Magician': '40'},0,0
Empress Road : Southern Outskirts,26,10,35,35,36,281,14949403560,3482914,121901990,{'High Flora Magician': '36'},0,0
Empress Road : Combat Zone Outskirts 1,26,12,39,39,40,280,14728826112,3436027,134005053,{'High Flora Foot Soldier': '40'},0,0
Empress Road : Western Outskirts,34,31,39,39,40,280,14728826112,3436027,134005053,{'High Flora Foot Soldier': '40'},0,0
Empress Road : Northern Outskirts,26,9,35,35,36,280,14728826112,3436027,120260945,{'High Flora Foot Soldier': '36'},0,0
Shangri-La : Harsh Winter 3,30,15,38,38,39,279,11161447920,3059716,116269208,{'Ink-Winged Owl': '39'},0,0
Shangri-La : Harsh Winter 4,30,15,38,38,39,279,11161447920,3059716,116269208,{'Ink-Winged Owl': '39'},0,0
Shangri-La : Harsh Winter 5,31,15,38,38,39,279,11161447920,3059716,116269208,{'Ink-Winged Owl': '39'},0,0
Shangri-La : Harsh Winter 2,30,15,38,38,39,278,11071437784,3037247,115415386,"{'Ink-Winged Owl': '18', 'Harsh Winter Researcher': '21'}",0,0
Shangri-La : Harsh Winter 1,30,15,33,33,34,278,10994286240,3017988,99593604,{'Harsh Winter Researcher': '34'},0,0
Shangri-La : Drowsy Autumn 2,30,15,38,38,39,277,10828381200,2981010,113278380,"{'Inkblot Sable': '19', 'Drowsy Autumn Researcher': '20'}",0,0
Shangri-La : Drowsy Autumn 3,30,15,38,38,39,277,10828381200,2981010,113278380,{'Inkblot Sable': '39'},0,0
Shangri-La : Drowsy Autumn 4,30,16,38,38,39,277,10828381200,2981010,113278380,{'Inkblot Sable': '39'},0,0
Shangri-La : Drowsy Autumn 5,31,17,38,38,39,277,10828381200,2981010,113278380,{'Inkblot Sable': '39'},0,0
Shangri-La : Drowsy Autumn 1,26,14,33,33,34,277,10828381200,2981010,98373330,{'Drowsy Autumn Researcher': '34'},0,0
Shangri-La : Gentle Summer 3,29,16,38,38,39,276,10663732800,2939616,111705408,{'Ink-Shaded Red-Crowned Crane': '39'},0,0
Shangri-La : Gentle Summer 4,29,16,38,38,39,276,10663732800,2939616,111705408,{'Ink-Shaded Red-Crowned Crane': '39'},0,0
Shangri-La : Gentle Summer 2,30,16,38,38,39,276,10663732800,2939616,111705408,"{'Ink-Shaded Red-Crowned Crane': '18', 'Gentle Summer Researcher': '21'}",0,0
Shangri-La : Gentle Summer 5,32,16,38,38,39,276,10663732800,2939616,111705408,{'Ink-Shaded Red-Crowned Crane': '39'},0,0
Shangri-La : Gentle Summer 1,30,15,33,33,34,276,10663732800,2939616,97007328,{'Gentle Summer Researcher': '34'},0,0
Shangri-La : Blooming Spring 2,30,14,38,38,39,275,10500341040,2903024,110314912,"{'Ink-Shaded Butterfly': '16', 'Withered Spring Researcher': '23'}",0,0
Shangri-La : Blooming Spring 3,30,16,38,38,39,275,10500341040,2903024,110314912,{'Ink-Shaded Butterfly': '39'},0,0
Shangri-La : Blooming Spring 4,30,16,38,38,39,275,10500341040,2903024,110314912,{'Ink-Shaded Butterfly': '39'},0,0
Shangri-La : Blooming Spring 5,31,16,38,38,39,275,10500341040,2903024,110314912,{'Ink-Shaded Butterfly': '39'},0,0
Shangri-La : Blooming Spring 1,30,14,33,33,34,275,10500341040,2903024,95799792,{'Withered Spring Researcher': '34'},0,0
Odium : Laboratory Behind Locked Door 4,30,12,38,38,39,274,7952744540,2582906,98150428,{'Failed Subject': '39'},0,0
Odium : Laboratory Behind Locked Door 3,30,12,38,38,39,274,7952744540,2582906,98150428,{'Failed Subject': '39'},0,0
Odium : Laboratory Behind Locked Door 2,30,11,36,36,37,273,7892538427,2565024,92340864,"{'Disintegrating Test Subject': '18', 'Failed Subject': '19'}",0,0
Odium : Laboratory Behind Locked Door 1,24,10,33,33,34,273,7828987530,2546149,84022917,{'Disintegrating Test Subject': '34'},0,0
Odium : Sunny Laboratory 3,30,14,38,38,39,272,7706197200,2513634,95518092,{'Guard Agate': '39'},0,0
Odium : Sunny Laboratory 2,30,14,36,36,37,272,7706197200,2513634,90490824,"{'Guard Corundum': '19', 'Guard Agate': '18'}",0,0
Odium : Sunny Laboratory 1,24,14,33,33,34,272,7706197200,2513634,82949922,{'Guard Corundum': '34'},0,0
Odium : Captured Alley 4,32,12,38,38,39,271,7584373550,2481337,94290806,{'Angler Robot Type C': '39'},0,0
Odium : Captured Alley 3,32,10,36,36,37,271,7584373550,2481337,89328132,"{'Angler Robot Type B': '18', 'Angler Robot Type C': '19'}",0,0
Odium : Captured Alley 1,28,8,33,33,34,271,7584373550,2481337,81884121,{'Angler Robot Type A': '34'},0,0
Odium : Captured Alley 2,28,8,33,33,34,271,7584373550,2481337,81884121,{'Angler Robot Type B': '34'},0,0
Odium : Road to the Castle's Gate 4,30,11,38,38,39,270,7463516580,2445217,92918246,{'Enhanced Corallite Guardian': '39'},0,0
Odium : Road to the Castle's Gate 5,30,12,38,38,39,270,7463516580,2445217,92918246,{'Enhanced Corallite Guardian': '39'},0,0
Odium : Road to the Castle's Gate 3,33,10,36,36,37,270,7463516580,2445217,88027812,{'Enhanced Olivine Guardian': '37'},0,0
Odium : Road to the Castle's Gate 2,24,10,33,33,34,270,7463516580,2445217,80692161,"{'Enhanced Olivine Guardian': '15', 'Enhanced Diamond Guardian': '19'}",0,0
Odium : Road to the Castle's Gate 1,24,11,33,33,34,270,7463516580,2445217,80692161,{'Enhanced Diamond Guardian': '34'},0,0
Hotel Arcus : Train with No Destination 6,33,9,37,37,38,269,5648943300,2174274,80448138,{'Houndbot': '38'},0,0
Hotel Arcus : Train with No Destination 5,22,9,33,33,34,269,5648943300,2174274,71751042,{'Houndbot': '34'},0,0
Hotel Arcus : Train with No Destination 4,22,11,33,33,34,269,5648943300,2174274,71751042,{'Houndbot': '34'},0,0
Hotel Arcus : Train with No Destination 3,33,10,37,37,38,268,5557463600,2145596,79387052,{'Conductorbot': '38'},0,0
Hotel Arcus : Train with No Destination 1,22,11,33,33,34,268,5557463600,2145596,70804668,{'Conductorbot': '34'},0,0
Hotel Arcus : Train with No Destination 2,22,11,33,33,34,268,5557463600,2145596,70804668,{'Conductorbot': '34'},0,0
Hotel Arcus : Nostalgic Drive-in Theater 6,24,10,33,33,34,267,5470563800,2113572,69747876,{'Puxillian Scrounger': '34'},0,0
Hotel Arcus : Nostalgic Drive-in Theater 4,25,9,33,33,34,267,5470563800,2113572,69747876,{'Puxillian Scrounger': '34'},0,0
Hotel Arcus : Nostalgic Drive-in Theater 5,26,10,32,32,33,267,5470563800,2113572,67634304,{'Puxillian Scrounger': '33'},0,0
Hotel Arcus : Nostalgic Drive-in Theater 3,31,12,38,38,39,266,5380537500,2085219,79238322,{'Puxillian Rover': '39'},0,0
Hotel Arcus : Nostalgic Drive-in Theater 1,22,9,33,33,34,266,5380537500,2085219,68812227,{'Puxillian Rover': '34'},0,0
Hotel Arcus : Nostalgic Drive-in Theater 2,26,9,33,33,34,266,5380537500,2085219,68812227,{'Puxillian Rover': '34'},0,0
Hotel Arcus : Outlaw-Infested Wastes 4,30,11,38,38,39,265,5295023500,2056974,78165012,{'Ironshot Desperado': '39'},0,0
Hotel Arcus : Outlaw-Infested Wastes 3,30,11,37,37,38,265,5295023500,2056974,76108038,{'Ironshot Desperado': '38'},0,0
Hotel Arcus : Outlaw-Infested Wastes 1,26,10,33,33,34,265,5295023500,2056974,67880142,{'Sandblade Marauder': '34'},0,0
Hotel Arcus : Outlaw-Infested Wastes 2,27,10,33,33,34,265,5295023500,2056974,67880142,{'Sandblade Marauder': '34'},0,0
Burning Cernium : Burning Royal Library Section 3,28,12,38,38,39,264,4004962000,1828409,69479542,{'Ebonstar Bombardier': '39'},0,0
Burning Cernium : Burning Royal Library Section 6,28,13,38,38,39,264,4004962000,1828409,69479542,{'Ebonstar Magician': '39'},0,0
Burning Cernium : Burning Royal Library Section 1,24,8,33,33,34,264,4004962000,1828409,60337497,{'Ebonstar Bombardier': '34'},0,0
